row_id,experiment_block,formula,family,request,scaffold_mode,corpus,request_spp_mode,reference_id,repeat_group,repeat_index,run_sca,run_chgnet,enabled,execution_mode,source_artifact,source_artifact_key,notes
BREADTH-U012,BREADTH,LiFePO4,olivine phosphate,Generate an olivine LiFePO4 candidate using retrieved phosphate evidence.,tight,materials_project_phase6_mp_10k,enabled,,,,yes,yes,yes,reuse_frozen,artifacts/paper_final_results_v1/PAPER_READY_ARCHIVE/06_TABLES/CSV/FINAL_UNIQUE_STRUCTURE_RESULTS.csv,unique_structure_id=U-012,Frozen prospective result reused without rerun.
BREADTH-U013,BREADTH,LiCoO2,layered oxide,Generate a layered LiCoO2 candidate using retrieved battery-material evidence.,tight,materials_project_phase6_mp_10k,enabled,,,,yes,yes,yes,reuse_frozen,artifacts/paper_final_results_v1/PAPER_READY_ARCHIVE/06_TABLES/CSV/FINAL_UNIQUE_STRUCTURE_RESULTS.csv,unique_structure_id=U-013,Frozen prospective result reused without rerun.
BREADTH-U014,BREADTH,CsPbCl3,halide perovskite,Generate a CsPbCl3 halide perovskite candidate using retrieved evidence.,tight,materials_project_phase6_mp_10k,enabled,,,,yes,yes,yes,reuse_frozen,artifacts/paper_final_results_v1/PAPER_READY_ARCHIVE/06_TABLES/CSV/FINAL_UNIQUE_STRUCTURE_RESULTS.csv,unique_structure_id=U-014,Frozen prospective result reused without rerun.
BREADTH-U015,BREADTH,CsSnBr3,halide perovskite,Generate a CsSnBr3 halide perovskite candidate using retrieved evidence.,tight,materials_project_phase6_mp_10k,enabled,,,,yes,yes,yes,reuse_frozen,artifacts/paper_final_results_v1/PAPER_READY_ARCHIVE/06_TABLES/CSV/FINAL_UNIQUE_STRUCTURE_RESULTS.csv,unique_structure_id=U-015,Frozen prospective result reused without rerun.
BREADTH-U016,BREADTH,CsPbI3,halide perovskite,Generate a CsPbI3 halide perovskite candidate using retrieved evidence.,tight,materials_project_phase6_mp_10k,enabled,,,,yes,yes,yes,reuse_frozen,artifacts/paper_final_results_v1/PAPER_READY_ARCHIVE/06_TABLES/CSV/FINAL_UNIQUE_STRUCTURE_RESULTS.csv,unique_structure_id=U-016,Frozen prospective result reused without rerun.
BREADTH-U017,BREADTH,CsSnI3,halide perovskite,Generate a CsSnI3 halide perovskite candidate using retrieved evidence.,tight,materials_project_phase6_mp_10k,enabled,,,,yes,yes,yes,reuse_frozen,artifacts/paper_final_results_v1/PAPER_READY_ARCHIVE/06_TABLES/CSV/FINAL_UNIQUE_STRUCTURE_RESULTS.csv,unique_structure_id=U-017,Frozen prospective result reused without rerun.
BREADTH-U018,BREADTH,CsPbBr3,halide perovskite,Generate a CsPbBr3 halide perovskite candidate using retrieved evidence.,tight,materials_project_phase6_mp_10k,enabled,,,,yes,yes,yes,reuse_frozen,artifacts/paper_final_results_v1/PAPER_READY_ARCHIVE/06_TABLES/CSV/FINAL_UNIQUE_STRUCTURE_RESULTS.csv,unique_structure_id=U-018,Frozen prospective result reused without rerun.
BREADTH-U019,BREADTH,CaTiO3,perovskite,Generate a calcium titanate perovskite candidate using retrieved oxide evidence.,tight,materials_project_phase6_mp_10k,enabled,,,,yes,yes,yes,reuse_frozen,artifacts/paper_final_results_v1/PAPER_READY_ARCHIVE/06_TABLES/CSV/FINAL_UNIQUE_STRUCTURE_RESULTS.csv,unique_structure_id=U-019,Frozen prospective result reused without rerun.
BREADTH-U020,BREADTH,SrTiO3,perovskite,Generate a strontium titanate perovskite candidate using retrieved oxide evidence.,tight,materials_project_phase6_mp_10k,enabled,,,,yes,yes,yes,reuse_frozen,artifacts/paper_final_results_v1/PAPER_READY_ARCHIVE/06_TABLES/CSV/FINAL_UNIQUE_STRUCTURE_RESULTS.csv,unique_structure_id=U-020,Frozen prospective result reused without rerun.
REPEAT-SIMPLE-1,REPEATABILITY,BaTiO3,perovskite,Generate BaTiO3 as a perovskite crystal with requested Pm-3m symmetry.,minimal,,enabled,,repeat_simple,1,yes,no,yes,canonical,,,Frozen downstream repeat group.
REPEAT-SIMPLE-2,REPEATABILITY,BaTiO3,perovskite,Generate BaTiO3 as a perovskite crystal with requested Pm-3m symmetry.,minimal,,enabled,,repeat_simple,2,yes,no,yes,canonical,,,Frozen downstream repeat group.
REPEAT-SIMPLE-3,REPEATABILITY,BaTiO3,perovskite,Generate BaTiO3 as a perovskite crystal with requested Pm-3m symmetry.,minimal,,enabled,,repeat_simple,3,yes,no,yes,canonical,,,Frozen downstream repeat group.
REPEAT-HALIDE-1,REPEATABILITY,CsPbBr3,halide perovskite,Generate CsPbBr3 as a halide perovskite crystal with requested Pm-3m symmetry.,minimal,,enabled,,repeat_halide,1,yes,no,yes,canonical,,,Frozen downstream repeat group.
REPEAT-HALIDE-2,REPEATABILITY,CsPbBr3,halide perovskite,Generate CsPbBr3 as a halide perovskite crystal with requested Pm-3m symmetry.,minimal,,enabled,,repeat_halide,2,yes,no,yes,canonical,,,Frozen downstream repeat group.
REPEAT-HALIDE-3,REPEATABILITY,CsPbBr3,halide perovskite,Generate CsPbBr3 as a halide perovskite crystal with requested Pm-3m symmetry.,minimal,,enabled,,repeat_halide,3,yes,no,yes,canonical,,,Frozen downstream repeat group.
REPEAT-SCAFFOLD-1,REPEATABILITY,Na3Zr2Si2PO12,NASICON/NZP,Generate Na3Zr2Si2PO12 as a NASICON/NZP crystal with requested C2 symmetry.,tight,nasicon_specialist_v3,enabled,,repeat_scaffold,1,yes,no,yes,canonical,,,Frozen downstream repeat group.
REPEAT-SCAFFOLD-2,REPEATABILITY,Na3Zr2Si2PO12,NASICON/NZP,Generate Na3Zr2Si2PO12 as a NASICON/NZP crystal with requested C2 symmetry.,tight,nasicon_specialist_v3,enabled,,repeat_scaffold,2,yes,no,yes,canonical,,,Frozen downstream repeat group.
REPEAT-SCAFFOLD-3,REPEATABILITY,Na3Zr2Si2PO12,NASICON/NZP,Generate Na3Zr2Si2PO12 as a NASICON/NZP crystal with requested C2 symmetry.,tight,nasicon_specialist_v3,enabled,,repeat_scaffold,3,yes,no,yes,canonical,,,Frozen downstream repeat group.
SCAFFOLD-A2,SCAFFOLD,Na3Zr2Si2PO12,NASICON/NZP,"Generate Na3Zr2Si2PO12 as a NASICON/NZP crystal with requested C2 symmetry.",tight,nasicon_specialist_v3,enabled,,,1,yes,yes,yes,reuse_frozen,artifacts/final_paper_benchmark_result4_v4_1/results/positive/RDX-E4-A2/POSITIVE_CANONICAL/attempts/20260813T224510.876647Z-ff81ffc5708a/workflow_trace.json,,Target-derived scaffold demonstration; request SPP plus regulator fallback.
SCAFFOLD-C2,SCAFFOLD,"Na3Ti2(PO4)3",NASICON/NZP,"Generate Na3Ti2(PO4)3 as a NASICON/NZP crystal with requested R-3 symmetry.",tight,nasicon_specialist_v3,enabled,,,1,yes,yes,yes,reuse_frozen,artifacts/final_paper_benchmark_result4_v4_1/results/positive/RDX-E4-C2/POSITIVE_CANONICAL/attempts/20260813T225034.810500Z-53348a93ef1a/workflow_trace.json,,Target-derived scaffold demonstration; request SPP plus regulator fallback.
SCAFFOLD-F1,SCAFFOLD,"LiZr2(PO4)3",NASICON/NZP,"Generate LiZr2(PO4)3 as a NASICON/NZP crystal with requested R-3c symmetry.",tight,nasicon_specialist_v3,enabled,,,1,yes,yes,yes,reuse_frozen,artifacts/final_paper_benchmark_result4_completion_v4_2/results/positive/RDX-E4-F1/POSITIVE_CANONICAL/attempts/20260813T234301.931803Z-99ec90255db6/workflow_trace.json,,Independent-reference recovery test with no reference match; outcome preserved.
ABSTENTION-A1,ABSTENTION,Na3Zr2Si2PO12,NASICON/NZP,"RDX-NEG-E4-A1: Generate Na3Zr2Si2PO12 as a NASICON/NZP crystal with requested R-3c symmetry.",tight,nasicon_specialist_v3,enabled,,,1,no,no,yes,reuse_frozen,artifacts/final_paper_benchmark_result4_completion_v4_2/results/negative/RDX-NEG-E4-A1/CONTROLLED_REPRESENTABILITY/attempts/20260813T234541.700375Z-b954a72a11da/workflow_trace.json,,Expected ORBIT_MULTIPLICITY_NOT_REPRESENTABLE; solver not reached and no CIF.
ABSTENTION-A3,ABSTENTION,Na3Ti2Si2PO12,NASICON/NZP,"RDX-NEG-E4-A3: Generate Na3Ti2Si2PO12 as a NASICON/NZP crystal with requested R-3 symmetry.",tight,nasicon_specialist_v3,enabled,,,1,no,no,yes,reuse_frozen,artifacts/final_paper_benchmark_result4_completion_v4_2/results/negative/RDX-NEG-E4-A3/CONTROLLED_REPRESENTABILITY/attempts/20260813T234542.317603Z-853be7d89e90/workflow_trace.json,,Expected TARGET_SPACE_GROUP_SCAFFOLD_MISMATCH; solver not reached and no CIF.
ABSTENTION-A4,ABSTENTION,Na3Hf2Si2PO12,NASICON/NZP,"RDX-NEG-E4-A4: Generate Na3Hf2Si2PO12 as a NASICON/NZP crystal with requested R-3 symmetry.",tight,nasicon_specialist_v3,enabled,,,1,no,no,yes,reuse_frozen,artifacts/final_paper_benchmark_result4_completion_v4_2/results/negative/RDX-NEG-E4-A4/CONTROLLED_REPRESENTABILITY/attempts/20260813T234542.713275Z-b7ac16be3b9b/workflow_trace.json,,Expected TARGET_SPACE_GROUP_SCAFFOLD_MISMATCH; solver not reached and no CIF.
