repository,revision,path,line,reference
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.json,713,C:\\Users\\brown\\Documents\\GitHub\\Structured_Crystal_Analyser\\local_runs\\paper_result_section_smoke_v2_20260716\\result_3_halide_perovskite__halide_perovskite__CsPbCl3\\CsPbCl3_final.cif
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.json,944,C:\\Users\\brown\\Documents\\GitHub\\Structured_Crystal_Analyser\\local_runs\\paper_result_section_smoke_v2_20260716\\result_2_hard_intent__hard_intent__Li6PS5Cl\\Li6PS5Cl_final.cif
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.json,977,C:\\Users\\brown\\Documents\\GitHub\\Structured_Crystal_Analyser\\local_runs\\paper_result_section_smoke_v2_20260716\\result_2_hard_intent__hard_intent__LiFePO4\\LiFePO4_final.cif
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.json,1010,C:\\Users\\brown\\Documents\\GitHub\\Structured_Crystal_Analyser\\local_runs\\paper_result_section_smoke_v2_20260716\\result_2_hard_intent__hard_intent__LiCoO2\\LiCoO2_final.cif
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.json,1066,C:\\Users\\brown\\Documents\\GitHub\\Skill-Loop-CSP\\artifacts\\PAPER_RESULTS_TABLE.csv
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.json,1067,C:\\Users\\brown\\Documents\\GitHub\\Skill-Loop-CSP\\PAPER_RESULT_SECTION_SMOKE_V2_REPORT.json
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.json,1068,C:\\Users\\brown\\Documents\\GitHub\\Skill-Loop-CSP\\benchmarks\\paper_result_section_smoke_manifest.csv
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.json,1069,C:\\Users\\brown\\Documents\\GitHub\\Crystal-DB\\artifacts\\result_dataset_indexing_summary.json
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.json,1070,C:\\Users\\brown\\Documents\\GitHub\\Crystal-DB\\artifacts\\result_dataset_pot_coverage.json
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.json,1071,C:\\Users\\brown\\Documents\\GitHub\\Crystal-DB\\artifacts\\result_dataset_solver_support.json
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.json,1072,C:\\Users\\brown\\Documents\\GitHub\\Structured_Crystal_Analyser\\local_runs\\paper_result_section_smoke_v2_20260716\\SCA_VALIDATION_SUMMARY.json
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.md,61,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\local_runs\paper_result_section_smoke_v2_20260716\result_1_common_families__common_families__NiO\NiO_final.cif | OK | hit | ok | ok | ok | ok | ok | complete | | fixed_orbit_supported | supported | supported_and_used | generated_ok | | run_physical_quality_benchmark | false | false | false | false | SPP objective present; SCA parse/formula/symmetry checks passed. Physical quality benchmark not run. |
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.md,62,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\local_runs\paper_result_section_smoke_v2_20260716\result_1_common_families__common_families__TiN\TiN_final.cif | OK | hit | ok | ok | ok | ok | ok | complete | | fixed_orbit_supported | supported | supported_and_used | generated_ok | | run_physical_quality_benchmark | false | false | false | false | SPP objective present; SCA parse/formula/symmetry checks passed. Physical quality benchmark not run. |
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.md,63,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\local_runs\paper_result_section_smoke_v2_20260716\result_1_common_families__common_families__MgO\MgO_final.cif | OK | hit | ok | ok | ok | ok | ok | complete | | fixed_orbit_supported | supported | supported_and_used | generated_ok | | run_physical_quality_benchmark | false | false | false | false | SPP objective present; SCA parse/formula/symmetry checks passed. Physical quality benchmark not run. |
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.md,64,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\local_runs\paper_result_section_smoke_v2_20260716\result_1_common_families__common_families__CeO2\CeO2_final.cif | OK | hit | ok | ok | ok | ok | ok | complete | | fixed_orbit_supported | supported | supported_and_used | generated_ok | | run_physical_quality_benchmark | false | false | false | false | SPP objective present; SCA parse/formula/symmetry checks passed. Physical quality benchmark not run. |
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.md,65,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\local_runs\paper_result_section_smoke_v2_20260716\result_1_common_families__common_families__ZrO2\ZrO2_final.cif | OK | hit | ok | ok | ok | ok | ok | complete | | fixed_orbit_supported | supported | supported_and_used | generated_ok | | run_physical_quality_benchmark | false | false | false | false | SPP objective present; SCA parse/formula/symmetry checks passed. Physical quality benchmark not run. |
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.md,66,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\local_runs\paper_result_section_smoke_v2_20260716\result_1_common_families__common_families__ThO2\ThO2_final.cif | OK | hit | ok | ok | ok | ok | ok | complete | | fixed_orbit_supported | supported | supported_and_used | generated_ok | | run_physical_quality_benchmark | false | false | false | false | SPP objective present; SCA parse/formula/symmetry checks passed. Physical quality benchmark not run. |
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.md,67,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\local_runs\paper_result_section_smoke_v2_20260716\result_1_common_families__common_families__CsPbBr3\CsPbBr3_final.cif | OK | hit | ok | ok | ok | ok | ok | complete | | fixed_orbit_supported | supported | not_in_current_variable_upgrade_set | generated_ok | | add_variable_orbit_support | false | true | false | false | Generated with fixed prototype orbit; objective scoring not run. Physical quality benchmark not run. |
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.md,68,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\local_runs\paper_result_section_smoke_v2_20260716\result_1_common_families__common_families__CsSnBr3\CsSnBr3_final.cif | OK | hit | ok | ok | ok | ok | ok | complete | | fixed_orbit_supported | supported | not_in_current_variable_upgrade_set | generated_ok | | add_variable_orbit_support | false | true | false | false | Generated with fixed prototype orbit; objective scoring not run. Physical quality benchmark not run. |
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.md,69,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\local_runs\paper_result_section_smoke_v2_20260716\result_1_common_families__common_families__CsPbCl3\CsPbCl3_final.cif | OK | hit | ok | ok | ok | ok | ok | complete | | fixed_orbit_supported | supported | not_in_current_variable_upgrade_set | generated_ok | | add_variable_orbit_support | false | true | false | false | Generated with fixed prototype orbit; objective scoring not run. Physical quality benchmark not run. |
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.md,70,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\local_runs\paper_result_section_smoke_v2_20260716\result_1_common_families__common_families__ZnFe2O4\ZnFe2O4_final.cif | OK | hit | ok | ok | ok | ok | ok | complete | | fixed_orbit_supported | supported | not_in_current_variable_upgrade_set | generated_ok | | add_variable_orbit_support | false | true | false | false | Generated with fixed prototype orbit; objective scoring not run. Physical quality benchmark not run. |
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.md,71,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\local_runs\paper_result_section_smoke_v2_20260716\result_1_common_families__common_families__MgAl2O4\MgAl2O4_final.cif | OK | hit | ok | ok | ok | ok | ok | complete | | fixed_orbit_supported | supported | not_in_current_variable_upgrade_set | generated_ok | | add_variable_orbit_support | false | true | false | false | Generated with fixed prototype orbit; objective scoring not run. Physical quality benchmark not run. |
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.md,72,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\local_runs\paper_result_section_smoke_v2_20260716\result_1_common_families__common_families__CoFe2O4\CoFe2O4_final.cif | OK | hit | ok | ok | ok | ok | ok | complete | | fixed_orbit_supported | supported | not_in_current_variable_upgrade_set | generated_ok | | add_variable_orbit_support | false | true | false | false | Generated with fixed prototype orbit; objective scoring not run. Physical quality benchmark not run. |
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.md,73,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\local_runs\paper_result_section_smoke_v2_20260716\result_3_halide_perovskite__halide_perovskite__CsPbBr3\CsPbBr3_final.cif | OK | hit | ok | ok | ok | ok | ok | complete | | fixed_orbit_supported | supported | not_in_current_variable_upgrade_set | generated_ok | | add_variable_orbit_support | false | true | false | false | Generated with fixed prototype orbit; objective scoring not run. Physical quality benchmark not run. |
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.md,74,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\local_runs\paper_result_section_smoke_v2_20260716\result_3_halide_perovskite__halide_perovskite__CsSnBr3\CsSnBr3_final.cif | OK | hit | ok | ok | ok | ok | ok | complete | | fixed_orbit_supported | supported | not_in_current_variable_upgrade_set | generated_ok | | add_variable_orbit_support | false | true | false | false | Generated with fixed prototype orbit; objective scoring not run. Physical quality benchmark not run. |
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.md,75,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\local_runs\paper_result_section_smoke_v2_20260716\result_3_halide_perovskite__halide_perovskite__CsPbCl3\CsPbCl3_final.cif | OK | hit | ok | ok | ok | ok | ok | complete | | fixed_orbit_supported | supported | not_in_current_variable_upgrade_set | generated_ok | | add_variable_orbit_support | false | true | false | false | Generated with fixed prototype orbit; objective scoring not run. Physical quality benchmark not run. |
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.md,82,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\local_runs\paper_result_section_smoke_v2_20260716\result_2_hard_intent__hard_intent__Li6PS5Cl\Li6PS5Cl_final.cif | OK | hit | ok | ok | ok | ok | ok | complete | | fixed_orbit_supported | supported | not_in_current_variable_upgrade_set | generated_ok | | add_variable_orbit_support | false | true | false | false | Generated with fixed prototype orbit; objective scoring not run. Physical quality benchmark not run. |
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.md,83,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\local_runs\paper_result_section_smoke_v2_20260716\result_2_hard_intent__hard_intent__LiFePO4\LiFePO4_final.cif | OK | hit | ok | ok | ok | ok | ok | complete | | fixed_orbit_supported | supported | not_in_current_variable_upgrade_set | generated_ok | | add_variable_orbit_support | false | true | false | false | Generated with fixed prototype orbit; objective scoring not run. Physical quality benchmark not run. |
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.md,84,C:\Users\brown\Documents\GitHub\Structured_Crystal_Analyser\local_runs\paper_result_section_smoke_v2_20260716\result_2_hard_intent__hard_intent__LiCoO2\LiCoO2_final.cif | OK | hit | ok | ok | ok | ok | ok | complete | | fixed_orbit_supported | supported | not_in_current_variable_upgrade_set | generated_ok | | add_variable_orbit_support | false | true | false | false | Generated with fixed prototype orbit; objective scoring not run. Physical quality benchmark not run. |
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/crystaldb_dataset_inventory.json,3,C:\\Users\\brown\\Documents\\GitHub\\Crystal-DB\\data\\phase6_mp_10k.db
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/crystaldb_dataset_inventory.json,28,C:\\Users\\brown\\Documents\\GitHub\\Crystal-DB\\data\\bench_phase3.db
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/crystaldb_dataset_inventory.json,94,C:\\Users\\brown\\Documents\\GitHub\\Crystal-DB\\data\\phase6_mp_10k.db
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/crystaldb_dataset_inventory.json,174,C:\\Users\\brown\\Documents\\GitHub\\Crystal-DB\\data\\tmp_pipeline.db
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/crystaldb_dataset_inventory.json,255,C:\\Users\\brown\\Documents\\GitHub\\Crystal-DB\\data\\tmp_pipeline2.db
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/crystaldb_dataset_inventory.json,343,C:\\Users\\brown\\Documents\\GitHub\\SPP-Maker-QLIP\\QLIP_Outputs\\SPP\\runs
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/crystaldb_dataset_inventory.md,5,C:\Users\brown\Documents\GitHub\Crystal-DB\data\phase6_mp_10k.db`.
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/crystaldb_dataset_inventory.md,11,C:\Users\brown\Documents\GitHub\Crystal-DB\data\bench_phase3.db | 290816 | 100 | 100 | 100 | 99 | 6 | 100 | None | 100 | None |
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/crystaldb_dataset_inventory.md,12,C:\Users\brown\Documents\GitHub\Crystal-DB\data\phase6_mp_10k.db | 881766400 | 10000 | 10000 | 10000 | 9958 | 1 | 10000 | 10024 | 10000 | 0 |
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/crystaldb_dataset_inventory.md,13,C:\Users\brown\Documents\GitHub\Crystal-DB\data\tmp_pipeline.db | 270336 | 8 | 8 | 8 | 8 | 4 | 8 | 0 | 0 | 0 |
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/crystaldb_dataset_inventory.md,14,C:\Users\brown\Documents\GitHub\Crystal-DB\data\tmp_pipeline2.db | 278528 | 8 | 8 | 8 | 8 | 4 | 8 | 4 | 4 | 0 |
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/crystaldb_dataset_inventory.md,21,C:\Users\brown\Documents\GitHub\SPP-Maker-QLIP\QLIP_Outputs\SPP\runs | True | 8999 | 2250 |
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/material_test_candidate_audit.json,5,C:\\Users\\brown\\Documents\\GitHub\\Crystal-DB\\data\\phase6_mp_10k.db
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/material_test_candidate_audit.json,6,C:\\Users\\brown\\Documents\\GitHub\\SPP-Maker-QLIP\\QLIP_Outputs\\SPP\\runs
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/material_test_candidate_audit.json,7,C:\\Users\\brown\\Documents\\GitHub\\Crystal-DB\\artifacts\\material_capability_audit.json
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/material_test_candidate_audit.json,41,C:\\Users\\brown\\Documents\\GitHub\\SPP-Maker-QLIP\\QLIP_Outputs\\SPP\\runs\\20260514_090416_CoAs2_safflorite_dmytro_fit_neighbors_calib_scaled_285e1305\\spp_root
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/material_test_candidate_audit.json,75,C:\\Users\\brown\\Documents\\GitHub\\SPP-Maker-QLIP\\QLIP_Outputs\\SPP\\runs\\20260217_163120_ABO3_all_dmytro_89e2b237\\spp_root
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/material_test_candidate_audit.json,112,C:\\Users\\brown\\Documents\\GitHub\\SPP-Maker-QLIP\\QLIP_Outputs\\SPP\\runs\\20260217_163120_ABO3_all_dmytro_89e2b237\\spp_root
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/material_test_candidate_audit.json,147,C:\\Users\\brown\\Documents\\GitHub\\SPP-Maker-QLIP\\QLIP_Outputs\\SPP\\runs\\20260217_163120_ABO3_all_dmytro_89e2b237\\spp_root
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/material_test_candidate_audit.json,180,C:\\Users\\brown\\Documents\\GitHub\\SPP-Maker-QLIP\\QLIP_Outputs\\SPP\\runs\\20260217_163120_ABO3_all_dmytro_89e2b237\\spp_root
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/material_test_candidate_audit.json,216,C:\\Users\\brown\\Documents\\GitHub\\SPP-Maker-QLIP\\QLIP_Outputs\\SPP\\runs\\20260217_163120_ABO3_all_dmytro_89e2b237\\spp_root
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/material_test_candidate_audit.json,249,C:\\Users\\brown\\Documents\\GitHub\\SPP-Maker-QLIP\\QLIP_Outputs\\SPP\\runs\\20260217_163120_ABO3_all_dmytro_89e2b237\\spp_root
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/material_test_candidate_audit.json,366,C:\\Users\\brown\\Documents\\GitHub\\SPP-Maker-QLIP\\QLIP_Outputs\\SPP\\runs\\20260217_163120_ABO3_all_dmytro_89e2b237\\spp_root
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/material_test_candidate_audit.json,402,C:\\Users\\brown\\Documents\\GitHub\\SPP-Maker-QLIP\\QLIP_Outputs\\SPP\\runs\\20260217_163120_ABO3_all_dmytro_89e2b237\\spp_root
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/material_test_candidate_audit.json,490,C:\\Users\\brown\\Documents\\GitHub\\SPP-Maker-QLIP\\QLIP_Outputs\\SPP\\runs\\20260217_163120_ABO3_all_dmytro_89e2b237\\spp_root
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/material_test_candidate_audit.json,491,C:\\Users\\brown\\Documents\\GitHub\\SPP-Maker-QLIP\\QLIP_Outputs\\SPP\\runs\\20260217_163513_ABO3_all_scaled_c7713143\\spp_root
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/material_test_candidate_audit.json,492,C:\\Users\\brown\\Documents\\GitHub\\SPP-Maker-QLIP\\QLIP_Outputs\\SPP\\runs\\20260217_171159_ABO3_all_scaled_neighbors_nobandpass_b1c2f8ec\\spp_root
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/material_test_candidate_audit.json,493,C:\\Users\\brown\\Documents\\GitHub\\SPP-Maker-QLIP\\QLIP_Outputs\\SPP\\runs\\20260218_133619_ABO3_dmytro_fit_neighbors_calib_scaled_0ac34dfc\\spp_root
